job title,company name,job date,locations,skills,links
Senior Python Developer - Remote,"Nile Bits, LLC -",6 days ago,"6th of October, Giza, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · javaScript · Software Development · Git · HTML5 · Unit Testing · Computer Science,https://wuzzuf.net/jobs/p/xoLPCDxxDq5h-DevOpsProdOPS-Engineer-Cegedim-Cairo-Egypt?o=165&l=sp&t=sj&a=python|search-v3|spbg
Python Developer,RUUF -,5 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · Django · Docker · Information Technology (IT) · JavaScript · Python · Software Development,https://wuzzuf.net/jobs/p/sTq4zpx9BqNy-Odoo-Developer-Dimofinf-Operations-Center-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|spbg
Python Developer (Odoo),ZAD Solutions -,13 days ago,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Information Technology (IT) · Computer Science · Odoo Modules · Development · Software Development · Software,https://wuzzuf.net/jobs/p/O5vrr5q8CJ2R-Senior-RPA-Developer-Net-SmartTech-Systems-Cairo-Egypt?o=88&l=sp&t=sj&a=python|search-v3|spbg
Python /Django Team Leader,Div Systems -,21 days ago,"Mokattam, Cairo, Egypt ",Full TimeManager · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Development Lead · Lead Python Engineer · Lead Software Development Engineer / Mentor · Python Developer · Engineering · Software Development · Python · Django Rest framework-,https://wuzzuf.net/jobs/p/B9Noe87tQbXD-Mid-Level-Developer-REST-API-Microservices---UK-Team---Alexandria-Procrew-Alexandria-Egypt?o=91&l=sp&t=sj&a=python|search-v3|spbg
Senior Python Developer,Andela -,22 days ago,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python,https://wuzzuf.net/jobs/p/Rn4kZCv4sDVJ-System-Engineer---Application-Performance-Monitoring-APM-Ejada-Cairo-Cairo-Egypt?o=102&l=sp&t=sj&a=python|search-v3|spbg
Senior Python Developer,FlairsTech -,27 days ago,"Maadi, Cairo, Egypt ",Full TimeShift BasedWork From HomeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Applications · Developing · Design · Implementation · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/hLW2SDKAlnD8-Web-Developer-Union-Group-Cairo-Egypt?o=160&l=sp&t=sj&a=python|search-v3|spbg
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,27 days ago,"San Stefano, Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Testing Software · Information Technology · Software Development · QC · English · Flask · PHP Development,https://wuzzuf.net/jobs/p/EbJ7ArfcMMjF-IT-Infrastructure-Developer-Quality-unit-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|spbg
Senior Python Developer,Evolvice GmbH -,27 days ago,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · backend · Cloud · Computer Science · Python · Software Development · ERP · Information Technology (IT),https://wuzzuf.net/jobs/p/xfOnLTU0h4lu-Senior-Devops-Engineer-Andela-Cairo-Egypt?o=77&l=sp&t=sj&a=python|search-v3|spbg
Junior Python Developer,Confidential -,29 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Software Engineering · JavaScript · jQuery · CSS · HTML · Python,https://wuzzuf.net/jobs/p/v9Vl7mKPixxf-Full-Stack-developer-eSmartSoft-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|spbg
Full Stack Developer (Python/React) -Fluent English,Fekra Technology Solutions and Construction -,1 month ago,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Development · Information Technology (IT) · Python · React · Software Development · JavaScript,https://wuzzuf.net/jobs/p/lYZTffkjGZmy-Devops-Engineer-Techno-Ways-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|spbg
Python Developer Ecommerce ERP System (Odoo) - Fluent English,Fekra Technology Solutions and Construction -,1 month ago,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · ERP · Programming · Python · Software Development · Information Technology (IT) · Computer Science · Linux,https://wuzzuf.net/jobs/p/AUoHM4f3cf3z-Senior-Front-end-Web-Developer-eSmartSoft-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|spbg
Python Developer- Fluent English,Fekra Technology Solutions and Construction -,1 month ago,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Programming · Software Development · Python · Computer Science · Elasticsearch · Information Technology (IT),https://wuzzuf.net/jobs/p/AROPLV3pkzSN-Odoo-Developer-Cairo-Egypt?o=115&l=sp&t=sj&a=python|search-v3|spbg
Python Developer,Trufla -,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Git · Computer Science · Information Technology (IT) · Software Development · AWS · Agile · SQL,https://wuzzuf.net/jobs/p/KpZSdA2oQips-Senior-Backend-Developer-Digified-Cairo-Egypt?o=117&l=sp&t=sj&a=python|search-v3|spbg
Full Stack Software Engineer ( Python - React ),JRM for Communications -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full-Stack · Information Technology (IT) · Python · React · Software · Software Development,https://wuzzuf.net/jobs/p/o1hH6mubtaOT-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|spbg
Python Developer (Odoo Framework),VA -,1 month ago,"Salmiya, Kuwait ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo Development · Computer Science · English · Information Technology (IT) · Software Development,https://wuzzuf.net/jobs/p/6ptrQzvM939L-Full-Stack-Engineer-DigiFi-Cairo-Egypt?o=158&l=sp&t=sj&a=python|search-v3|spbg
Python Developer (Odoo),2B -,5 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · Computer Science · Information Technology (IT) · CSS · Linux · jQuery · API,https://wuzzuf.net/jobs/p/lti4vVhRvuKO-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=70&l=sp&t=sj&a=python|search-v3|spbg
Python Developer / REST API / Microservices - Ocucon Team (UK) - (Alexandria),Procrew -,3 days ago,"Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · JavaScript · Software Development · Programming Language · Git · Information Technology (IT) · Front-End Development · Full Stack Development,https://wuzzuf.net/jobs/p/GDO6Yai9Cs4C-Devops-Engineer---Software-Development-Rasan-Cairo-Egypt?o=109&l=sp&t=sj&a=python|search-v3|spbg
Backend Engineer - Python/Django,Paymob Solutions -,3 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development,https://wuzzuf.net/jobs/p/cvVaDAHQodFk-Odoo-Developer-Pan-Marine-Group-Alexandria-Egypt?o=82&l=sp&t=sj&a=python|search-v3|spbg
Python Programmer,Dumiah animation studio -,8 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Computer Engineering · Software Development · Software Engineering · Python · Linux · UNIX,https://wuzzuf.net/jobs/p/pCk2RnNk17sP-Software-Testing-Team-Leader-360Imaging-Giza-Egypt?o=141&l=sp&t=sj&a=python|search-v3|spbg
Senior Python Django Full Stack Developer,LINK Development -,23 hours ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Python · Information Technology (IT) · javaScript · SQL · Software · Software Engineering,https://wuzzuf.net/jobs/p/4VAV0jbNoBc5-Odoo-Developer-Egyptian-Cultural-Center-Cairo-Egypt?o=136&l=sp&t=sj&a=python|search-v3|spbg
Senior Software Engineer - Python\Django,Paymob Solutions -,4 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,https://wuzzuf.net/jobs/p/1ivG518SHtoF-Senior-Odoo-Developer---Giza-Ejadtech-Giza-Egypt?o=24&l=sp&t=sj&a=python|search-v3|spbg
Python Developer,EBE -,4 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · Information Technology (IT) · Computer Science · javaScript · HTML5 · Django · CSS3,https://wuzzuf.net/jobs/p/DQWfgpJWxe85-Senior-Data-Warehouse-BI-Tester-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=164&l=sp&t=sj&a=python|search-v3|spbg
Senior Data Analyst,Future Group -,4 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · SQL · Python · Data · Data Analysis · Statistics · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/oD4XsBPZCUcC-Data-Analyst-Fund-Ourselves-Ltd-Cairo-Egypt?o=116&l=sp&t=sj&a=python|search-v3|spbg
Senior Odoo Developer - Giza,Ejadtech -,1 month ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Git · HTML · jQuery · JavaScript · XML · Development · Software Development,https://wuzzuf.net/jobs/p/efE9GPfTPHd7-Odoo-Developer-Peerless-Giza-Egypt?o=26&l=sp&t=sj&a=python|search-v3|spbg
Odoo Specialist - Cairo,Collars HR -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Odoo · ERP · JavaScript · Python · SaaS,https://wuzzuf.net/jobs/p/vDevjo7J5M1c-Data-Quality-Assurance-Analyst-Engineer-Z2-Data-Qalubia-Egypt?o=27&l=sp&t=sj&a=python|search-v3|spbg
Odoo Developer,Peerless -,1 month ago,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · HTML · Python · PostgreSQL · javaScript · XML · API · Odoo Modules,https://wuzzuf.net/jobs/p/CWnoB4gBFvD6-Senior-DevOps-Engineer-Evolvice-GmbH-Cairo-Egypt?o=149&l=sp&t=sj&a=python|search-v3|spbg
Data Quality Assurance Analyst Engineer,Z2 Data -,1 month ago,"Banha, Qalubia, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Analysis · Communication · Communication skills · Computer Science · Data Analysis · Engineering · Programming,https://wuzzuf.net/jobs/p/Wcu4dwoAsuM3-Solution-Architect-PHP-Expand-Cart-Giza-Egypt?o=33&l=sp&t=sj&a=python|search-v3|spbg
DevOps: Site Reliability Engineer/ Support Engineer,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,https://wuzzuf.net/jobs/p/B13L1xsmivpP-PHP-Technical-Lead-LINK-Development-Cairo-Egypt?o=186&l=sp&t=sj&a=python|search-v3|spbg
Applied Machine Learning Engineer / Computer Vision Scientist,412labs.com -,2 months ago,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Computer Vision · Information Technology (IT) · Deep Learning · Python · Research · Machine Learning · OpenCV · TensorFlow · Keras,https://wuzzuf.net/jobs/p/b0NAsOYEKrXG-Junior-Software-Developer-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=72&l=sp&t=sj&a=python|search-v3|spbg
Senior DevOps Engineer,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL,https://wuzzuf.net/jobs/p/NfwodYCo5nZC-DevOps-Engineer-Cairo-Egypt?o=127&l=sp&t=sj&a=python|search-v3|spbg
Odoo Developer,Dimofinf Operations Center -,4 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Git · Development · HTML · JavaScript · Odoo · Odoo Development · Python · Computer Science,https://wuzzuf.net/jobs/p/t7SI3G5KLIvg-Management-Trainee--Supply-Chain-Landmark-Group-Cairo-Egypt?o=151&l=sp&t=sj&a=python|search-v3|spbg
